Customer Name,Item Name,Modifiers,Price
,Smash Hamburger,"[Pick Your Cheese: No cheese, American, Provolone, Shredded Cheese] [Pick toppings: Lettuce, Tomato, Pickle, Raw Onions, Grilled Onions, Grilled Mushrooms, Jalapenos] [Pick Your Sauce: Mustard, Mayonnaise, Ketchup, BBQ, A1, NO Sauce] [Add Ons: Bacon (+$2.00), Fried Egg (+$1.00), Extra Patty (+$4.00)]",$12.00
,Patty Melt,"[Pick Your Cheese: No cheese, American, Provolone, Shredded Cheese] [Toppings: No Onion] [Pick Your Sauce: Mustard, Mayonnaise, Ketchup, BBQ, A1, NO Sauce] [Add Ons: Bacon (+$2.00), Fried Egg (+$1.00), Extra Patty (+$4.00)]",$10.00
,Grilled Chicken Sandwich,"[Pick toppings: Lettuce, Tomato, Pickle, Raw Onions, Grilled Onions, Grilled Mushrooms, Jalapenos] [Pick Your Sauce: Mustard, Mayonnaise, Ketchup, Thousand Island, BBQ, A1, NO Sauce] [Add Ons: Bacon (+$2.00), Fried Egg (+$1.00), American Cheese (+$1.00), Provolone Cheese (+$1.00), Shredded Cheese (+$1.00)]",$12.00
,Grilled Cheese,"[Pick Your Cheese: American, Provolone, Shredded Cheese] [Add Ons: Bacon (+$2.00), Ham (+$2.00), Turkey (+$2.00)]",$8.00
,BLT,"[Bread/Tortilla Choice: Sliced Bread, Flour Tortilla] [Pick toppings: Lettuce, Tomato, Pickle, Raw Onions, Grilled Onions, Grilled Mushrooms, Jalapenos] [Pick Your Sauce: Mustard, Mayonnaise, Ketchup, Thousand Island, BBQ, A1, NO Sauce] [Add Ons: Extra Bacon (+$2.00), American Cheese (+$1.00), Provolone Cheese (+$1.00), Shredded Cheese (+$1.00)]",$9.00
,Club Sandwich,"[Bread/Roll Choice: Sliced Bread, Hoagie Roll] [Meat Options: Ham, Turkey, No Ham, No Turkey] [Pick Your Cheese: No cheese, American, Provolone] [Pick toppings: Lettuce, Tomato, Pickle, Raw Onions, Jalapenos] [Pick Your Sauce: Mustard, Mayonnaise, Ketchup, Thousand Island, NO Sauce] [Extra Add Ons: Bacon (+$2.00), Extra Ham (+$2.00), Extra Turkey (+$2.00)]",$12.00
,Street Taco,"[Pick Your Tortilla: Soft Corn, Flour] [Pick Your Meat: Chicken, Steak, Ground Beef] [Pick toppings: Cilantro, Diced Onion, Lettuce, Tomato, Shredded Cabbage, Pico, Jalapenos, Lime] [Pick Your Sauce: Red Salsa, Green Salsa, Sour Cream, Ranch, NO Sauce] [Add Ons: Shredded Cheese (+$1.00), Bacon (+$2.00)]",$6.00
,Quesadilla,"[Pick toppings: Pico, Jalapenos] [Pick Your Sauce: Red Salsa, Green Salsa, Sour Cream, Ranch, NO Sauce] [Add Ons: Chicken (+$2.00), Steak (+$2.00), Ground Beef (+$2.00), Bacon (+$2.00), Extra Shredded Cheese (+$1.00)]",$8.00
,Breakfast Tacos,"[Exclusions: No Potato, No Cheese] [Pick toppings: Cilantro, Diced Onion, Tomato, Pico, Jalapenos] [Pick Sauce: Red Salsa, Green Salsa, Sour Cream, Ranch, Ketchup, Thousand Island, No Sauce] [Extra Add Ons: Bacon (+$2.00), Sausage (+$2.00), Ham (+$2.00), Turkey (+$2.00), Chicken (+$2.00)]",$5.00
,Nachos,"[Pick toppings: Pico, Jalapenos] [Add Ons: Extra Cheese (+$1.00)]",$8.00
,Loaded Nachos,"[Pick Your Meat: Chicken, Steak, Ground Beef, Bacon] [Pick toppings: Cilantro, Diced Onion, Lettuce, Tomato, Shredded Cabbage, Pico, Jalapenos, Lime] [Pick Your Sauce: Red Salsa, Green Salsa, Sour Cream, Ranch, NO Sauce] [Extra Add Ons: Cheese (+$1.00), Bacon (+$2.00), Chicken (+$2.00), Steak (+$2.00), Ground Beef (+$2.00)]",$12.00
,Chicken Wings (6),"[Pick Style/Flavor: Plain, Wet Sauce - Hot, Wet Sauce - BBQ, Wet Sauce - Buffalo, Dry Rub - Ranch, Dry Rub - Lemon Pepper, Dry Rub - Garlic Parm] [Pick Your Sauce: Ranch, Blue Cheese, NO Sauce] [Extra Add Ons: Celery, Carrots, Cheese Sauce (+$1.00)]",$12.00
,Crinkle Fries or Tots,"[Pick Your Style: Crinkle Fries, Tots] [Pick Your Sauce: Mustard, Ketchup, Mayonnaise, Thousand Island, NO Sauce] [Extra Add Ons: Cheese Sauce (+$2.00), Shredded Cheese (+$2.00)]",$6.00
,Loaded Crinkle Fries or Tots,"[Pick Your Style: Crinkle Fries, Tots] [Pick Your Meat: Chicken, Steak, Ground Beef, Bacon, Breakfast Sausage] [Pick Your Sauce/Toppings: Red Salsa, Green Salsa, Sour Cream, Ranch, Pico, Jalapenos, No Sauce] [Extra Add-Ons: Extra Meat (+$2.00), Extra Cheese (+$1.00)]",$12.00
,Cheese Sticks (5),"[Pick Your Sauce: Ranch, Marinara]",$6.00
,6 Wings Combo (For One),"[Side Choice: Crinkle Fries, Tots] [Drink Choice: Coke, Diet Coke, Sprite, Dr Pepper, Water] [Wing Sauce: Frank's Hot Buffalo, Sweet Baby Ray's Honey BBQ, Lemon Pepper, Garlic Parm, Ranch]",$15.00
,Cheeseburger Combo (For One),"[Side Choice: Crinkle Fries, Tots] [Drink Choice: Coke, Diet Coke, Sprite, Dr Pepper, Water] [Cheese Choice: American, Provolone] [Toppings: Lettuce, Tomato, Pickle, Raw Onions, Grilled Onions, Grilled Mushrooms, Jalapenos]",$15.00
,Grilled Chicken Sandwich Combo (For One),"[Side Choice: Crinkle Fries, Tots] [Drink Choice: Coke, Diet Coke, Sprite, Dr Pepper, Water]",$15.00
,BLT Combo (For One),"[Side Choice: Crinkle Fries, Tots] [Drink Choice: Coke, Diet Coke, Sprite, Dr Pepper, Water] [Bread/Tortilla Choice: Sliced Bread, Flour Tortilla] [Pick toppings: Lettuce, Tomato, Pickle, Raw Onions, Grilled Onions, Grilled Mushrooms, Jalapenos]",$15.00
,For One: Chef Salad,"[Choose Your Veggies: Lettuce, Tomato, Cucumber, Bell Pepper, Carrot, Celery, Shredded Cabbage, Pickles, Cilantro, Diced Onion, Pico, Jalapenos, Lime] [Choose Your Meat: Ham, Turkey, Chicken, Bacon, Steak, Ground Beef] [Extra Add Ons: Shredded Cheese (+$1.00), Bacon (+$2.00), Chicken (+$2.00), Steak (+$2.00), Ground Beef (+$2.00)] [Pick Your Dressing: Ranch, Thousand Island, Vinaigrette, Italian]",$15.00
,2 Cheese Burgers Combo (For Two),"[Drink 1: Coke, Diet Coke, Sprite, Dr Pepper, Water] [Drink 2: Coke, Diet Coke, Sprite, Dr Pepper, Water]",$30.00
,2 Breakfast Tacos Combo (For Two),"[Drink 1: Coke, Diet Coke, Sprite, Dr Pepper, Water] [Drink 2: Coke, Diet Coke, Sprite, Dr Pepper, Water]",$20.00
,Can Drink,"[Flavor: Coke, Diet Coke, Sprite, Dr Pepper]",$2.00
,Bottle of Water,[Standard: Regular],$2.00
,Monster or Red Bull,"[Brand: Monster, Red Bull]",$5.00
,Bag Of Chips,[Standard: Regular],$2.00
